阶段,主题编号,主题标签,主题强度,平均主题概率,关键词排名,关键词,词项概率
2016-2020,T11,产品 / 热解 / 收率 / 化合物,0.082226,0.082992,5,化学,0.007414
2016-2020,T11,产品 / 热解 / 收率 / 化合物,0.082226,0.082992,6,degradation,0.007363
2016-2020,T11,产品 / 热解 / 收率 / 化合物,0.082226,0.082992,7,生物质,0.007276
2016-2020,T11,产品 / 热解 / 收率 / 化合物,0.082226,0.082992,8,氧化,0.006932
2016-2020,T11,产品 / 热解 / 收率 / 化合物,0.082226,0.082992,9,反应,0.00664
2016-2020,T11,产品 / 热解 / 收率 / 化合物,0.082226,0.082992,10,转化,0.006549
2016-2020,T11,产品 / 热解 / 收率 / 化合物,0.082226,0.082992,11,aromatic,0.006171
2016-2020,T11,产品 / 热解 / 收率 / 化合物,0.082226,0.082992,12,浓度,0.005584
2016-2020,T12,地震 / 频率 / 速度 / 反演,0.088365,0.093391,1,地震,0.025133
2016-2020,T12,地震 / 频率 / 速度 / 反演,0.088365,0.093391,2,频率,0.01104
2016-2020,T12,地震 / 频率 / 速度 / 反演,0.088365,0.093391,3,速度,0.009174
2016-2020,T12,地震 / 频率 / 速度 / 反演,0.088365,0.093391,4,反演,0.008823
2016-2020,T12,地震 / 频率 / 速度 / 反演,0.088365,0.093391,5,预测,0.008258
2016-2020,T12,地震 / 频率 / 速度 / 反演,0.088365,0.093391,6,测井,0.005647
2016-2020,T12,地震 / 频率 / 速度 / 反演,0.088365,0.093391,7,accuracy,0.005506
2016-2020,T12,地震 / 频率 / 速度 / 反演,0.088365,0.093391,8,algorithm,0.005392
2016-2020,T12,地震 / 频率 / 速度 / 反演,0.088365,0.093391,9,resistivity,0.005272
2016-2020,T12,地震 / 频率 / 速度 / 反演,0.088365,0.093391,10,成像,0.004999
2016-2020,T12,地震 / 频率 / 速度 / 反演,0.088365,0.093391,11,密度,0.004899
2016-2020,T12,地震 / 频率 / 速度 / 反演,0.088365,0.093391,12,information,0.004559
2021-2025,T01,构造 / 复合材料 / 强度 / 材料,0.074438,0.078513,1,构造,0.010376
2021-2025,T01,构造 / 复合材料 / 强度 / 材料,0.074438,0.078513,2,复合材料,0.008908
2021-2025,T01,构造 / 复合材料 / 强度 / 材料,0.074438,0.078513,3,强度,0.008676
2021-2025,T01,构造 / 复合材料 / 强度 / 材料,0.074438,0.078513,4,材料,0.008332
2021-2025,T01,构造 / 复合材料 / 强度 / 材料,0.074438,0.078513,5,聚合物,0.008016
2021-2025,T01,构造 / 复合材料 / 强度 / 材料,0.074438,0.078513,6,热采,0.007158
2021-2025,T01,构造 / 复合材料 / 强度 / 材料,0.074438,0.078513,7,凝胶,0.007104
2021-2025,T01,构造 / 复合材料 / 强度 / 材料,0.074438,0.078513,8,self,0.00628
2021-2025,T01,构造 / 复合材料 / 强度 / 材料,0.074438,0.078513,9,阻力,0.005672
2021-2025,T01,构造 / 复合材料 / 强度 / 材料,0.074438,0.078513,10,稳定性,0.005058
2021-2025,T01,构造 / 复合材料 / 强度 / 材料,0.074438,0.078513,11,prepared,0.00462
2021-2025,T01,构造 / 复合材料 / 强度 / 材料,0.074438,0.078513,12,material,0.004415
2021-2025,T02,产品 / 热解 / 收率 / 机理,0.147785,0.13854,1,产品,0.009417
2021-2025,T02,产品 / 热解 / 收率 / 机理,0.147785,0.13854,2,热解,0.008848
2021-2025,T02,产品 / 热解 / 收率 / 机理,0.147785,0.13854,3,removal,0.007142
2021-2025,T02,产品 / 热解 / 收率 / 机理,0.147785,0.13854,4,收率,0.006
2021-2025,T02,产品 / 热解 / 收率 / 机理,0.147785,0.13854,5,机理,0.005625
2021-2025,T02,产品 / 热解 / 收率 / 机理,0.147785,0.13854,6,degradation,0.005623
2021-2025,T02,产品 / 热解 / 收率 / 机理,0.147785,0.13854,7,化学,0.005323
2021-2025,T02,产品 / 热解 / 收率 / 机理,0.147785,0.13854,8,化合物,0.005039
2021-2025,T02,产品 / 热解 / 收率 / 机理,0.147785,0.13854,9,氧化,0.004992
2021-2025,T02,产品 / 热解 / 收率 / 机理,0.147785,0.13854,10,生物质,0.004946
2021-2025,T02,产品 / 热解 / 收率 / 机理,0.147785,0.13854,11,dot,0.004639
2021-2025,T02,产品 / 热解 / 收率 / 机理,0.147785,0.13854,12,构造,0.004526
2021-2025,T03,页岩 / 孔隙 / 储层 / 岩石,0.05663,0.065517,1,页岩,0.033362
2021-2025,T03,页岩 / 孔隙 / 储层 / 岩石,0.05663,0.065517,2,孔隙,0.02612
2021-2025,T03,页岩 / 孔隙 / 储层 / 岩石,0.05663,0.065517,3,储层,0.023291
2021-2025,T03,页岩 / 孔隙 / 储层 / 岩石,0.05663,0.065517,4,岩石,0.022405
2021-2025,T03,页岩 / 孔隙 / 储层 / 岩石,0.05663,0.065517,5,样品,0.015026
2021-2025,T03,页岩 / 孔隙 / 储层 / 岩石,0.05663,0.065517,6,孔隙度,0.011375
2021-2025,T03,页岩 / 孔隙 / 储层 / 岩石,0.05663,0.065517,7,砂岩,0.010325
2021-2025,T03,页岩 / 孔隙 / 储层 / 岩石,0.05663,0.065517,8,碳酸盐岩,0.009966
2021-2025,T03,页岩 / 孔隙 / 储层 / 岩石,0.05663,0.065517,9,clay,0.009638
2021-2025,T03,页岩 / 孔隙 / 储层 / 岩石,0.05663,0.065517,10,mineral,0.009261
2021-2025,T03,页岩 / 孔隙 / 储层 / 岩石,0.05663,0.065517,11,矿物,0.008159
2021-2025,T03,页岩 / 孔隙 / 储层 / 岩石,0.05663,0.065517,12,有机质,0.00799
2021-2025,T04,水合物 / 二氧化碳 / 采收率 / 注入,0.13341,0.121413,1,水合物,0.03401
2021-2025,T04,水合物 / 二氧化碳 / 采收率 / 注入,0.13341,0.121413,2,二氧化碳,0.031652
2021-2025,T04,水合物 / 二氧化碳 / 采收率 / 注入,0.13341,0.121413,3,采收率,0.014176
2021-2025,T04,水合物 / 二氧化碳 / 采收率 / 注入,0.13341,0.121413,4,注入,0.012867
2021-2025,T04,水合物 / 二氧化碳 / 采收率 / 注入,0.13341,0.121413,5,储层,0.012506
2021-2025,T04,水合物 / 二氧化碳 / 采收率 / 注入,0.13341,0.121413,6,驱替,0.010398
2021-2025,T04,水合物 / 二氧化碳 / 采收率 / 注入,0.13341,0.121413,7,储存,0.009611
2021-2025,T04,水合物 / 二氧化碳 / 采收率 / 注入,0.13341,0.121413,8,实验,0.008951
2021-2025,T04,水合物 / 二氧化碳 / 采收率 / 注入,0.13341,0.121413,9,甲烷,0.00821
2021-2025,T04,水合物 / 二氧化碳 / 采收率 / 注入,0.13341,0.121413,10,表面活性剂,0.008197
2021-2025,T04,水合物 / 二氧化碳 / 采收率 / 注入,0.13341,0.121413,11,浓度,0.007898
2021-2025,T04,水合物 / 二氧化碳 / 采收率 / 注入,0.13341,0.121413,12,黏度,0.006586
2021-2025,T05,燃烧 / 火焰 / 颗粒 / 烟炱,0.056983,0.059915,1,燃烧,0.02385
2021-2025,T05,燃烧 / 火焰 / 颗粒 / 烟炱,0.056983,0.059915,2,火焰,0.012598
2021-2025,T05,燃烧 / 火焰 / 颗粒 / 烟炱,0.056983,0.059915,3,颗粒,0.010011
2021-2025,T05,燃烧 / 火焰 / 颗粒 / 烟炱,0.056983,0.059915,4,烟炱,0.009508
2021-2025,T05,燃烧 / 火焰 / 颗粒 / 烟炱,0.056983,0.059915,5,emissions,0.009115
2021-2025,T05,燃烧 / 火焰 / 颗粒 / 烟炱,0.056983,0.059915,6,air,0.007919
2021-2025,T05,燃烧 / 火焰 / 颗粒 / 烟炱,0.056983,0.059915,7,比值,0.007019
2021-2025,T05,燃烧 / 火焰 / 颗粒 / 烟炱,0.056983,0.059915,8,ammonia,0.006864
2021-2025,T05,燃烧 / 火焰 / 颗粒 / 烟炱,0.056983,0.059915,9,nox,0.006664
2021-2025,T05,燃烧 / 火焰 / 颗粒 / 烟炱,0.056983,0.059915,10,实验,0.006436
2021-2025,T05,燃烧 / 火焰 / 颗粒 / 烟炱,0.056983,0.059915,11,浓度,0.006259
2021-2025,T05,燃烧 / 火焰 / 颗粒 / 烟炱,0.056983,0.059915,12,机理,0.005967
2021-2025,T06,储层 / 钻井 / 预测 / 地震,0.16171,0.158298,1,储层,0.01467
2021-2025,T06,储层 / 钻井 / 预测 / 地震,0.16171,0.158298,2,钻井,0.01015
2021-2025,T06,储层 / 钻井 / 预测 / 地震,0.16171,0.158298,3,预测,0.006391
2021-2025,T06,储层 / 钻井 / 预测 / 地震,0.16171,0.158298,4,地震,0.005922
2021-2025,T06,储层 / 钻井 / 预测 / 地震,0.16171,0.158298,5,accuracy,0.005117
2021-2025,T06,储层 / 钻井 / 预测 / 地震,0.16171,0.158298,6,裂缝,0.004881
2021-2025,T06,储层 / 钻井 / 预测 / 地震,0.16171,0.158298,7,网络,0.004532
2021-2025,T06,储层 / 钻井 / 预测 / 地震,0.16171,0.158298,8,优化,0.004353
2021-2025,T06,储层 / 钻井 / 预测 / 地震,0.16171,0.158298,9,岩石,0.004332
2021-2025,T06,储层 / 钻井 / 预测 / 地震,0.16171,0.158298,10,模拟,0.003919
2021-2025,T06,储层 / 钻井 / 预测 / 地震,0.16171,0.158298,11,井筒,0.003749
2021-2025,T06,储层 / 钻井 / 预测 / 地震,0.16171,0.158298,12,工艺,0.00362
2021-2025,T07,裂缝 / 孔隙 / 渗透率 / 吸附,0.088651,0.094608,1,裂缝,0.03141
2021-2025,T07,裂缝 / 孔隙 / 渗透率 / 吸附,0.088651,0.094608,2,孔隙,0.028424
2021-2025,T07,裂缝 / 孔隙 / 渗透率 / 吸附,0.088651,0.094608,3,渗透率,0.021229
2021-2025,T07,裂缝 / 孔隙 / 渗透率 / 吸附,0.088651,0.094608,4,吸附,0.016401
2021-2025,T07,裂缝 / 孔隙 / 渗透率 / 吸附,0.088651,0.094608,5,水力压裂,0.014066
2021-2025,T07,裂缝 / 孔隙 / 渗透率 / 吸附,0.088651,0.094608,6,储层,0.012937
2021-2025,T07,裂缝 / 孔隙 / 渗透率 / 吸附,0.088651,0.094608,7,应力,0.012216
2021-2025,T07,裂缝 / 孔隙 / 渗透率 / 吸附,0.088651,0.094608,8,甲烷,0.01083
2021-2025,T07,裂缝 / 孔隙 / 渗透率 / 吸附,0.088651,0.094608,9,二氧化碳,0.009988
2021-2025,T07,裂缝 / 孔隙 / 渗透率 / 吸附,0.088651,0.094608,10,页岩,0.008501
2021-2025,T07,裂缝 / 孔隙 / 渗透率 / 吸附,0.088651,0.094608,11,实验,0.007463
2021-2025,T07,裂缝 / 孔隙 / 渗透率 / 吸附,0.088651,0.094608,12,构造,0.007459
2021-2025,T08,盆地 / 断层 / 构造 / 储层,0.081208,0.08329,1,盆地,0.021674
2021-2025,T08,盆地 / 断层 / 构造 / 储层,0.081208,0.08329,2,断层,0.016158
2021-2025,T08,盆地 / 断层 / 构造 / 储层,0.081208,0.08329,3,构造,0.014235
2021-2025,T08,盆地 / 断层 / 构造 / 储层,0.081208,0.08329,4,储层,0.013881
2021-2025,T08,盆地 / 断层 / 构造 / 储层,0.081208,0.08329,5,沉积,0.010691
2021-2025,T08,盆地 / 断层 / 构造 / 储层,0.081208,0.08329,6,区带,0.008827
2021-2025,T08,盆地 / 断层 / 构造 / 储层,0.081208,0.08329,7,地震,0.007095
2021-2025,T08,盆地 / 断层 / 构造 / 储层,0.081208,0.08329,8,岩石,0.006964
2021-2025,T08,盆地 / 断层 / 构造 / 储层,0.081208,0.08329,9,勘探,0.005341
2021-2025,T08,盆地 / 断层 / 构造 / 储层,0.081208,0.08329,10,成藏,0.005325
2021-2025,T08,盆地 / 断层 / 构造 / 储层,0.081208,0.08329,11,分布,0.005026
2021-2025,T08,盆地 / 断层 / 构造 / 储层,0.081208,0.08329,12,sea,0.004835
2021-2025,T09,催化剂 / 催化 / 活性 / 位点,0.111015,0.109212,1,催化剂,0.043422
2021-2025,T09,催化剂 / 催化 / 活性 / 位点,0.111015,0.109212,2,催化,0.014472
2021-2025,T09,催化剂 / 催化 / 活性 / 位点,0.111015,0.109212,3,活性,0.012199
2021-2025,T09,催化剂 / 催化 / 活性 / 位点,0.111015,0.109212,4,位点,0.010714
2021-2025,T09,催化剂 / 催化 / 活性 / 位点,0.111015,0.109212,5,金属,0.00931
2021-2025,T09,催化剂 / 催化 / 活性 / 位点,0.111015,0.109212,6,cu,0.008779
2021-2025,T09,催化剂 / 催化 / 活性 / 位点,0.111015,0.109212,7,转化,0.008634
2021-2025,T09,催化剂 / 催化 / 活性 / 位点,0.111015,0.109212,8,二氧化碳,0.00845
2021-2025,T09,催化剂 / 催化 / 活性 / 位点,0.111015,0.109212,9,selectivity,0.008346
2021-2025,T09,催化剂 / 催化 / 活性 / 位点,0.111015,0.109212,10,构造,0.00654
2021-2025,T09,催化剂 / 催化 / 活性 / 位点,0.111015,0.109212,11,吸附,0.006058
2021-2025,T09,催化剂 / 催化 / 活性 / 位点,0.111015,0.109212,12,pt,0.005335
2021-2025,T10,二氧化碳 / 构造 / 密度 / 稳定性,0.08817,0.090692,1,二氧化碳,0.013433
2021-2025,T10,二氧化碳 / 构造 / 密度 / 稳定性,0.08817,0.090692,2,构造,0.008573
2021-2025,T10,二氧化碳 / 构造 / 密度 / 稳定性,0.08817,0.090692,3,密度,0.008553
2021-2025,T10,二氧化碳 / 构造 / 密度 / 稳定性,0.08817,0.090692,4,ion,0.007514
2021-2025,T10,二氧化碳 / 构造 / 密度 / 稳定性,0.08817,0.090692,5,稳定性,0.007495
2021-2025,T10,二氧化碳 / 构造 / 密度 / 稳定性,0.08817,0.090692,6,li,0.007108
2021-2025,T10,二氧化碳 / 构造 / 密度 / 稳定性,0.08817,0.090692,7,分离,0.006925
2021-2025,T10,二氧化碳 / 构造 / 密度 / 稳定性,0.08817,0.090692,8,membrane,0.006786
2021-2025,T10,二氧化碳 / 构造 / 密度 / 稳定性,0.08817,0.090692,9,材料,0.006084
2021-2025,T10,二氧化碳 / 构造 / 密度 / 稳定性,0.08817,0.090692,10,储存,0.005988
2021-2025,T10,二氧化碳 / 构造 / 密度 / 稳定性,0.08817,0.090692,11,层系,0.005982
2021-2025,T10,二氧化碳 / 构造 / 密度 / 稳定性,0.08817,0.090692,12,electrolyte,0.005958
